generation,genome_idx,fitness,n_hidden,gene_in,gene_out,weight,enabled,innov
41,10,2464.9500000000003,3,9,11,0.406661,1,28
41,10,2464.9500000000003,3,9,12,1.288479,1,29
41,10,2464.9500000000003,3,9,13,0.164791,1,30
41,10,2464.9500000000003,3,10,11,0.028569,1,31
41,10,2464.9500000000003,3,10,12,0.218768,1,32
41,10,2464.9500000000003,3,10,13,-0.010581,0,33
41,10,2464.9500000000003,3,0,14,1.160142,0,147
41,10,2464.9500000000003,3,14,11,-0.089399,1,148
41,10,2464.9500000000003,3,0,15,1.040247,1,36
41,10,2464.9500000000003,3,15,14,0.698353,1,37
41,10,2464.9500000000003,3,10,16,0.732026,1,63
41,10,2464.9500000000003,3,16,13,0.241872,1,64
41,11,2464.9500000000003,3,0,11,-1.023628,0,1
41,11,2464.9500000000003,3,0,12,-1.904220,1,2
41,11,2464.9500000000003,3,0,13,1.298852,1,3
41,11,2464.9500000000003,3,1,11,1.332701,1,4
41,11,2464.9500000000003,3,1,12,-1.988016,1,5
41,11,2464.9500000000003,3,1,13,0.438978,1,6
41,11,2464.9500000000003,3,2,11,0.375866,1,7
41,11,2464.9500000000003,3,2,12,-1.567331,1,8
41,11,2464.9500000000003,3,2,13,0.530758,1,9
41,11,2464.9500000000003,3,3,11,1.450207,1,10
41,11,2464.9500000000003,3,3,12,-1.914080,1,11
41,11,2464.9500000000003,3,3,13,-0.622177,1,12
41,11,2464.9500000000003,3,4,11,-0.124981,1,13
41,11,2464.9500000000003,3,4,12,-1.303295,1,14
41,11,2464.9500000000003,3,4,13,2.939622,1,15
41,11,2464.9500000000003,3,5,11,0.082895,1,16
41,11,2464.9500000000003,3,5,12,0.533482,1,17
41,11,2464.9500000000003,3,5,13,2.041372,1,18
41,11,2464.9500000000003,3,6,11,-0.028733,1,19
41,11,2464.9500000000003,3,6,12,-0.546007,1,20
41,11,2464.9500000000003,3,6,13,-0.831709,1,21
41,11,2464.9500000000003,3,7,11,1.149005,1,22
41,11,2464.9500000000003,3,7,12,0.519560,1,23
41,11,2464.9500000000003,3,7,13,-1.762239,1,24
41,11,2464.9500000000003,3,8,11,-0.352043,1,25
41,11,2464.9500000000003,3,8,12,0.540912,1,26
41,11,2464.9500000000003,3,8,13,3.229790,1,27
41,11,2464.9500000000003,3,9,11,1.460313,1,28
41,11,2464.9500000000003,3,9,12,0.702561,1,29
41,11,2464.9500000000003,3,9,13,0.341942,1,30
41,11,2464.9500000000003,3,10,11,-1.650769,1,31
41,11,2464.9500000000003,3,10,12,-0.421224,1,32
41,11,2464.9500000000003,3,10,13,-0.073404,0,33
41,11,2464.9500000000003,3,0,14,-2.323106,0,147
41,11,2464.9500000000003,3,14,11,0.461834,1,148
41,11,2464.9500000000003,3,0,15,0.290776,1,36
41,11,2464.9500000000003,3,15,14,1.225431,1,37
41,11,2464.9500000000003,3,10,16,1.292744,1,63
41,11,2464.9500000000003,3,16,13,-0.925890,1,64
41,12,2385.383333333333,4,0,11,-0.616524,0,1
41,12,2385.383333333333,4,0,12,0.255761,1,2
41,12,2385.383333333333,4,0,13,0.901034,0,3
41,12,2385.383333333333,4,1,11,1.633201,1,4
41,12,2385.383333333333,4,1,12,-2.076151,1,5
41,12,2385.383333333333,4,1,13,-0.394394,1,6
41,12,2385.383333333333,4,2,11,0.090851,1,7
41,12,2385.383333333333,4,2,12,-0.563890,1,8
41,12,2385.383333333333,4,2,13,-1.041825,1,9
41,12,2385.383333333333,4,3,11,2.136163,1,10
41,12,2385.383333333333,4,3,12,-1.820882,1,11
41,12,2385.383333333333,4,3,13,-0.083314,1,12
41,12,2385.383333333333,4,4,11,-0.809425,1,13
41,12,2385.383333333333,4,4,12,-0.768748,1,14
41,12,2385.383333333333,4,4,13,-1.848610,1,15
41,12,2385.383333333333,4,5,11,-0.034213,1,16
41,12,2385.383333333333,4,5,12,0.635957,1,17
41,12,2385.383333333333,4,5,13,1.884974,1,18
41,12,2385.383333333333,4,6,11,-0.007013,1,19
41,12,2385.383333333333,4,6,12,-1.055905,1,20
